studynumber,Measure_Year,MiddleClimate,Rs_Norm,Tm,Pm,NoObs
77,1967,Cf,0.559,13.5,80.4,34
77,1967,Cf,0.596,11,111.4,34
77,1967,Cf,0.743,3.6,80.2,34
77,1967,Cf,0.223,1.4,103.9,34
77,1968,Cf,0.211,1.2,96.4,34
77,1968,Cf,0.088,1.4,73.5,34
77,1968,Cf,0.523,5.5,57.1,34
77,1968,Cf,0.174,9,30,34
77,1968,Cf,0.547,10.6,52.4,34
77,1968,Cf,0.541,14.5,59.1,34
77,1968,Cf,0.712,15.9,127.6,34
77,1968,Cf,0.688,16.1,86.3,34
77,1968,Cf,0.988,13.5,135.3,34
77,1968,Cf,1.012,11.2,51.5,34
77,1968,Cf,0.584,3.8,32.4,34
77,1968,Cf,0.265,-0.6,58.1,34
94,1969,Cf,2.173,23.6,141.2,10
94,1969,Cf,1.398,21.6,135.6,10
94,1969,Cf,1.524,18.2,25.9,10
94,1969,Cf,0.308,10.5,32.3,10
94,1970,Cf,0.395,3.6,73,10
94,1970,Cf,0.747,12.6,169.4,10
94,1970,Cf,1.207,17.6,34.4,10
94,1970,Cf,1.303,21.4,104.3,10
94,1970,Cf,0.651,24.5,44.1,10
94,1970,Cf,1.265,25.8,222.7,10
105,1970,B,0.843,2.9,15.2,7
105,1971,B,0.507,4.7,8.4,7
105,1971,B,1.179,12.6,24.5,7
105,1971,B,5.514,15.8,84.2,7
105,1971,B,2.503,16.5,52.7,7
105,1971,B,0.609,21,19.7,7
105,1971,B,0.8,11.2,14.2,7
108,1979,Cs,1.53,23.5,30,11
108,1979,Cs,2.324,27.8,0.6,11
108,1979,Cs,2.79,27.3,27.1,11
108,1979,Cs,1.783,21,33,11
108,1979,Cs,1.43,7.4,15.6,11
108,1980,Cs,1.103,7.1,40.3,11
108,1980,Cs,1.825,10.6,62.5,11
108,1980,Cs,2.244,12.5,43.5,11
108,1980,Cs,3.505,16.2,26.5,11
108,1980,Cs,3.643,23.6,8.3,11
108,1980,Cs,3.478,26.3,0,11
109,1971,Cf,1.066,14.4,99.4,11
109,1971,Cf,2.822,17.8,118,11
109,1971,Cf,3.907,24.4,80.8,11
109,1971,Cf,3.926,24.3,214.3,11
109,1972,Cf,0.172,6,196,11
109,1972,Cf,0.062,4.2,127.5,11
109,1971,Cf,5.677,24.3,89.1,11
109,1971,Cf,6.683,23,77.9,11
109,1971,Cf,1.671,18.6,54.6,11
109,1971,Cf,1.028,8.7,49.8,11
109,1971,Cf,0.024,9.7,154.9,11
115,1973,Cf,1.51,6.2,29,10
115,1973,Cf,1.267,5,28.9,10
115,1974,Cf,1.362,6.1,60.9,10
115,1974,Cf,0.997,5.8,78.9,10
115,1974,Cf,1.381,5.5,31.2,10
115,1974,Cf,2.073,8.3,3.6,10
115,1974,Cf,2.331,14.5,74.8,10
115,1974,Cf,2.849,15.9,48.8,10
115,1974,Cf,3.423,15.8,95.7,10
115,1974,Cf,2.971,12.3,147.9,10
120,1971,Cf,0.313,5.1,94.4,17
120,1971,Cf,0.448,8.7,112.3,17
120,1971,Cf,0.557,9.3,112.8,17
120,1971,Cf,0.444,14.1,44.2,17
120,1971,Cf,0.403,15.2,28.2,17
120,1971,Cf,1.123,9.9,132.1,17
120,1971,Cf,0.173,3,201,17
120,1972,Cf,0.202,-1.6,268,17
120,1972,Cf,0.416,3.5,237.2,17
120,1972,Cf,0.357,3.9,191.5,17
120,1972,Cf,0.724,10,67.7,17
120,1972,Cf,0.867,11.1,121.4,17
120,1972,Cf,0.328,14.4,44.5,17
120,1972,Cf,0.277,9.4,162.4,17
120,1972,Cf,0.331,5.8,67.9,17
120,1972,Cf,0.265,3.4,133.4,17
120,1972,Cf,0.302,-0.9,307.5,17
143,1972,Cs,1.329,19.3,174.8,28
143,1972,Cs,0.832,12.7,61.6,28
143,1972,Cs,0.738,10.2,81.2,28
143,1973,Cs,0.629,9.2,222.8,28
143,1973,Cs,0.477,7.5,182.1,28
143,1973,Cs,0.572,9.8,64.7,28
143,1973,Cs,0.344,12.9,59.2,28
143,1973,Cs,0.906,19.1,31.5,28
143,1973,Cs,1.22,23.3,27.3,28
143,1973,Cs,1.193,24.7,21.6,28
143,1973,Cs,1.403,25.6,54.6,28
143,1973,Cs,1.212,23.1,74.2,28
143,1973,Cs,1.191,18.2,111.5,28
143,1973,Cs,0.646,12.6,41.3,28
143,1972,Cs,0.885,19.3,174.8,28
143,1972,Cs,0.414,12.7,61.6,28
143,1972,Cs,0.702,10.2,81.2,28
143,1973,Cs,0.563,9.2,222.8,28
143,1973,Cs,0.434,7.5,182.1,28
143,1973,Cs,0.401,9.8,64.7,28
143,1973,Cs,0.463,12.9,59.2,28
143,1973,Cs,0.698,19.1,31.5,28
143,1973,Cs,1.035,23.3,27.3,28
143,1973,Cs,1.18,24.7,21.6,28
143,1973,Cs,1.02,25.6,54.6,28
143,1973,Cs,0.895,23.1,74.2,28
143,1973,Cs,1.03,18.2,111.5,28
143,1973,Cs,0.468,12.6,41.3,28
145,1974,B,0.041,-6.3,16.9,12
145,1974,B,0.148,-3,19.5,12
145,1974,B,0.375,3.5,4.8,12
145,1974,B,0.748,6.7,10.4,12
145,1974,B,0.639,11.7,4.9,12
145,1974,B,0.588,19.9,0,12
145,1974,B,0.506,22.2,35.6,12
145,1974,B,0.561,20.2,8,12
145,1974,B,0.602,15.7,0,12
145,1974,B,0.731,9.3,75,12
145,1974,B,0.474,1.7,1.6,12
145,1974,B,0.412,-4.3,23.5,12
148,1974,Cf,0.477,9.8,219.7,12
148,1974,Cf,0.167,6.2,145.6,12
148,1974,Cf,0.238,12.3,163.9,12
148,1974,Cf,1.146,14.9,118.3,12
148,1974,Cf,2.907,19.8,218,12
148,1974,Cf,4.715,21.3,59,12
148,1974,Cf,4.424,25.3,67.8,12
148,1974,Cf,6.174,24.3,107.3,12
148,1974,Cf,5.813,20.5,88.5,12
148,1974,Cf,2.567,14.3,50.1,12
148,1974,Cf,1.341,9.4,123.8,12
148,1974,Cf,0.469,5.1,130.9,12
183,1969,Cf,0.693,-2.3,100.9,12
183,1969,Cf,0.615,1.4,39.3,12
183,1969,Cf,0.824,2.8,50.7,12
183,1969,Cf,1.426,14.1,118.3,12
183,1969,Cf,3.469,18.1,116.3,12
183,1969,Cf,5.386,21.6,256.2,12
183,1969,Cf,5.674,26.8,123.4,12
183,1969,Cf,5.092,24.7,43.1,12
183,1969,Cf,3.331,20.4,153.6,12
183,1969,Cf,2.107,12.5,227.8,12
183,1969,Cf,1.165,6.1,13.6,12
183,1969,Cf,0.733,-0.3,34.9,12
252,1976,Cs,2.076,15.9,50.1,11
252,1976,Cs,2.369,9.9,83.1,11
252,1976,Cs,1.726,6.8,55.8,11
252,1976,Cs,1.629,4,122.9,11
252,1977,Cs,1.004,0.7,61.9,11
252,1977,Cs,1.274,6,80.8,11
252,1977,Cs,1.625,9.5,75.3,11
252,1977,Cs,2.107,9.5,169.9,11
252,1977,Cs,2.072,15.1,44.4,11
252,1977,Cs,2.294,15.4,26.6,11
252,1977,Cs,2.262,18.7,140,11
263,1975,Cs,0.82,26.7,0,28
263,1975,Cs,0.827,25,19.6,28
263,1975,Cs,0.771,24.5,4.5,28
263,1975,Cs,0.947,19,38.9,28
263,1975,Cs,1.613,13.9,69.8,28
263,1975,Cs,1.002,10.3,162.2,28
263,1976,Cs,0.557,9.8,51.4,28
263,1976,Cs,0.581,8.6,133.8,28
263,1976,Cs,0.473,11.1,48.7,28
263,1976,Cs,0.779,14.9,51.5,28
263,1976,Cs,1.417,19.5,21.1,28
263,1976,Cs,1.4,23.3,9.1,28
263,1976,Cs,1.198,25.5,14.4,28
263,1976,Cs,0.873,24.1,21.7,28
263,1976,Cs,1.318,22,19.2,28
263,1976,Cs,1.252,18.7,135.2,28
263,1976,Cs,1.162,14.3,107.6,28
263,1976,Cs,1.015,11.9,40.6,28
263,1977,Cs,0.878,9.8,28.4,28
263,1977,Cs,0.825,13.2,26.8,28
263,1977,Cs,0.947,12.5,28,28
263,1977,Cs,0.957,15.6,26.3,28
263,1977,Cs,1.107,20.7,2.5,28
263,1977,Cs,1.441,24.3,13.2,28
263,1977,Cs,1.985,27.5,1.4,28
263,1977,Cs,1.328,27,1.6,28
263,1977,Cs,1.152,21.8,34.2,28
263,1977,Cs,0.706,16.2,91.9,28
267,1975,Cw,1.865,29.7,199.6,15
267,1975,Cw,2.028,28.6,178.7,15
267,1975,Cw,1.877,27.3,183.9,15
267,1975,Cw,1.736,25.5,27.5,15
267,1975,Cw,0.784,18.8,0,15
267,1975,Cw,0.478,15.8,0,15
267,1976,Cw,0.448,14.4,23,15
267,1976,Cw,0.66,16.8,38.8,15
267,1976,Cw,0.848,21.1,9.8,15
267,1976,Cw,1.145,26.8,4.8,15
267,1976,Cw,0.927,31.5,19,15
267,1976,Cw,1.55,31.4,70.4,15
267,1976,Cw,1.167,30.3,228.2,15
267,1976,Cw,0.683,27.8,249.7,15
267,1976,Cw,1.517,28.5,63.9,15
281,1978,Cf,1.572,26.8,129.6,13
281,1978,Cf,1.636,26.7,125.5,13
281,1978,Cf,1.436,24.6,50.6,13
281,1978,Cf,1.062,17.1,17.7,13
281,1978,Cf,1.227,15,56.7,13
281,1978,Cf,0.864,9.3,41.9,13
281,1979,Cf,0.603,5.6,106.5,13
281,1979,Cf,0.574,6.1,219.7,13
281,1979,Cf,0.884,14,88.4,13
281,1979,Cf,1.084,17.4,154.8,13
281,1979,Cf,1.356,21.3,162.7,13
281,1979,Cf,1.549,23.9,55,13
281,1979,Cf,1.813,25.5,155.1,13
283,1972,Cf,2.22,20.3,61.2,7
283,1972,Cf,2.034,22.8,49.5,7
283,1972,Cf,3.174,27.8,62.9,7
283,1972,Cf,2.733,27.6,41.6,7
283,1972,Cf,4.591,28.8,21.2,7
283,1972,Cf,5.507,27.1,72,7
283,1972,Cf,1.13,9.8,66.2,7
291,1976,Cs,1.365,22,19.2,23
291,1976,Cs,1.157,18.7,135.2,23
291,1976,Cs,1.378,14.3,107.6,23
291,1976,Cs,0.989,11.9,40.6,23
291,1977,Cs,0.871,9.8,28.4,23
291,1977,Cs,0.816,13.2,26.8,23
291,1977,Cs,1.041,12.5,28,23
291,1977,Cs,1.02,15.6,26.3,23
291,1977,Cs,1.183,20.7,2.5,23
291,1977,Cs,2.114,24.3,13.2,23
291,1977,Cs,1.454,27.5,1.4,23
291,1977,Cs,1.357,27,1.6,23
291,1977,Cs,0.933,21.8,34.2,23
291,1977,Cs,0.813,17.2,5.2,23
291,1977,Cs,0.73,16.2,91.9,23
291,1977,Cs,0.412,9.8,179.9,23
291,1978,Cs,0.41,9,110.3,23
291,1978,Cs,0.453,11.9,98.9,23
291,1978,Cs,0.984,12.8,45.7,23
291,1978,Cs,0.933,15.3,50.2,23
291,1978,Cs,1.174,19.7,36.8,23
291,1978,Cs,1.067,24.7,1.8,23
291,1978,Cs,1.415,26.8,0,23
302,1980,Df,0.205,6.2,24.9,8
302,1980,E,0.73,6.7,28.6,8
302,1980,E,0.326,2.5,20.7,8
302,1980,Df,0.68,8.4,23.5,8
302,1980,Df,0.517,5.1,25.1,8
302,1980,Df,0.924,17.3,32.9,8
302,1980,Df,0.371,13.6,16.4,8
302,1980,Df,0.473,9.1,42.7,8
313,1979,Cf,0.136,14.7,53,22
313,1979,Cf,0.183,10,140.7,22
313,1979,Cf,0.19,5.2,58.5,22
313,1980,Cf,0.142,5.5,155,22
313,1980,Cf,0.22,2.4,56,22
313,1980,Cf,0.862,7.9,253,22
313,1980,Cf,1.339,14.4,92.4,22
313,1980,Cf,1.385,19.8,79.9,22
313,1980,Cf,1.283,23.9,47.3,22
313,1980,Cf,1.438,27.1,64.9,22
313,1980,Cf,1.174,8.2,96.8,22
313,1981,Cf,1.055,1.2,37.4,22
313,1981,Cf,1.069,5.4,128.2,22
313,1981,Cf,1.09,7.6,94.3,22
313,1981,Cf,1.174,17.1,120.4,22
313,1981,Cf,1.509,17.5,74.2,22
313,1981,Cf,1.711,25,131.3,22
313,1981,Cf,1.819,26.9,59.2,22
313,1981,Cf,1.809,25,90.5,22
313,1981,Cf,1.478,20.9,129.3,22
313,1981,Cf,1.333,14.7,112.2,22
313,1981,Cf,1.052,9,78.2,22
316,1980,Cf,1.398,6.1,37.7,12
316,1981,Cf,1.271,3.4,13.1,12
316,1981,Cf,1.339,4.5,76.6,12
316,1981,Cf,1.666,9,98.2,12
316,1981,Cf,2.201,12.7,142.7,12
316,1981,Cf,2.836,17.2,87.4,12
316,1981,Cf,3.895,22.5,361.3,12
316,1981,Cf,5.447,27.6,174.7,12
316,1981,Cf,5.189,26.9,81.5,12
316,1981,Cf,3.898,22.7,98.4,12
316,1981,Cf,2.812,17.4,152.4,12
316,1981,Cf,1.851,11.6,86.9,12
352,1981,Cf,0.977,3.4,13.1,12
352,1981,Cf,1.355,4.5,76.6,12
352,1981,Cf,1.236,9,98.2,12
352,1981,Cf,1.811,12.7,142.7,12
352,1981,Cf,2.917,17.2,87.4,12
352,1981,Cf,3.184,22.5,361.3,12
352,1981,Cf,6.999,27.6,174.7,12
352,1981,Cf,5.794,26.9,81.5,12
352,1981,Cf,4.808,22.7,98.4,12
352,1981,Cf,2.618,17.4,152.4,12
352,1981,Cf,1.737,11.6,86.9,12
352,1981,Cf,1.247,7.6,23.7,12
365,1980,Cf,0.153,-0.2,49.9,24
365,1980,Cf,0.155,5,69,24
365,1980,Cf,0.211,4.7,57.7,24
365,1980,Cf,0.368,7,72,24
365,1980,Cf,0.712,11.5,58.5,24
365,1980,Cf,1.018,14.1,83.8,24
365,1980,Cf,1.116,14.9,201.8,24
365,1980,Cf,0.893,17.1,69.7,24
365,1980,Cf,0.641,15.4,41.5,24
365,1980,Cf,0.4,8.8,80.5,24
365,1980,Cf,0.235,3.9,54.5,24
365,1980,Cf,0.161,2.2,92.9,24
365,1981,Cf,0.197,1.3,117.9,24
365,1981,Cf,0.222,0.6,55.7,24
365,1981,Cf,0.294,8.3,92.7,24
365,1981,Cf,0.439,8.1,30.5,24
365,1981,Cf,0.664,13.1,95.1,24
365,1981,Cf,0.924,14.4,131.8,24
365,1981,Cf,1.075,16,74.5,24
365,1981,Cf,0.914,16.4,91.9,24
365,1981,Cf,0.676,14.4,50.3,24
365,1981,Cf,0.444,8.4,123.7,24
365,1981,Cf,0.288,5.7,101,24
365,1981,Cf,0.243,0,107.8,24
379,1980,Cf,0.313,-4.6,22.2,12
379,1980,Cf,0.419,0.9,26.3,12
379,1980,Cf,0.476,2.3,16.1,12
379,1980,Cf,0.714,7.4,72.6,12
379,1980,Cf,1.436,11.9,16,12
379,1980,Cf,2.269,16.7,97.2,12
379,1980,Cf,1.746,17.3,99.5,12
379,1980,Cf,1.956,16.8,71,12
379,1980,Cf,1.517,13.9,39.8,12
379,1980,Cf,0.893,8.7,66.5,12
379,1980,Cf,0.505,3.2,38.7,12
379,1980,Cf,0.395,0.5,27.8,12
385,1981,Cf,1.186,3.1,31.9,12
385,1981,Cf,1.323,9.6,103.5,12
385,1981,Cf,1.922,14.5,76.1,12
385,1981,Cf,2.423,19.6,110.8,12
385,1981,Cf,3.827,22.6,82.4,12
385,1981,Cf,4.476,21.4,66.7,12
385,1981,Cf,3.554,16.9,67.8,12
385,1981,Cf,2.29,10.4,94.7,12
385,1981,Cf,1.889,6,117.3,12
385,1981,Cf,0.849,0.2,158.7,12
385,1982,Cf,0.813,-5.3,112,12
385,1982,Cf,0.836,-0.2,84.8,12
395,1980,Cf,0.246,9.1,73.5,34
395,1980,Cf,0.181,4.5,61.8,34
395,1980,Cf,0.073,2.7,75.9,34
395,1981,Cf,0.054,1.2,75.6,34
395,1981,Cf,0.061,1.2,43.5,34
395,1981,Cf,0.082,7.3,122.3,34
395,1981,Cf,0.274,7.8,17.1,34
395,1981,Cf,0.499,14.1,61.5,34
395,1981,Cf,0.895,14.7,96.9,34
395,1981,Cf,1.152,16.3,66.9,34
395,1981,Cf,1.066,16.4,53.7,34
395,1981,Cf,0.722,14.7,48.2,34
395,1981,Cf,0.603,8.1,91.8,34
395,1981,Cf,0.216,5.3,70.7,34
395,1981,Cf,0.086,-2.8,55.6,34
395,1982,Cf,0.053,-1,56.8,34
395,1982,Cf,0.181,1.6,20.8,34
395,1982,Cf,0.277,5,57.6,34
395,1982,Cf,0.737,7.3,34.2,34
395,1982,Cf,1.649,12.3,52.8,34
395,1982,Cf,1.155,16.4,66.2,34
395,1982,Cf,1.562,18.3,24.1,34
395,1982,Cf,1.605,17.1,66.2,34
395,1982,Cf,1.367,15.2,21.7,34
395,1982,Cf,1.067,10.5,74.5,34
395,1982,Cf,0.651,6.8,41.4,34
395,1982,Cf,0.311,2.6,64.8,34
395,1983,Cf,0.26,5.3,88.6,34
395,1983,Cf,0.313,-0.2,41.9,34
395,1983,Cf,0.463,4.9,97.2,34
395,1983,Cf,0.633,8.3,76.8,34
395,1983,Cf,1.04,11.4,115.7,34
395,1983,Cf,2.059,15.6,33,34
395,1983,Cf,1.479,19.4,15.9,34
404,1979,Df,1.101,13.8,44.6,8
404,1979,Df,1.181,15,61.7,8
404,1979,Df,1.029,14.3,58.3,8
404,1979,Df,0.737,7.7,110.3,8
404,1980,Df,1.608,16.7,87.8,8
404,1980,Df,1.734,15.2,118.1,8
404,1980,Df,1.371,12.9,48.7,8
404,1980,Df,0.976,7.8,36.6,8
408,1975,Cf,2.376,19.1,186,12
408,1975,Cf,2.755,24.1,190.6,12
408,1975,Cf,2.971,24.2,269.9,12
408,1975,Cf,2.808,22.3,180.4,12
408,1975,Cf,2.122,14.8,252,12
408,1975,Cf,1.191,9.5,136.5,12
408,1975,Cf,0.399,3.6,143.8,12
408,1976,Cf,0.134,0.3,112.2,12
408,1976,Cf,0.337,3.1,201,12
408,1976,Cf,0.546,4.1,152,12
408,1976,Cf,1.202,9.8,168.1,12
408,1976,Cf,2.249,18.7,216.9,12
417,1982,A,1.444,24.2,50.9,11
417,1982,A,1.407,26.9,106.3,11
417,1982,A,1.057,32.1,12.8,11
417,1982,A,1.194,33.3,0,11
417,1982,A,1.573,29.3,282.1,11
417,1982,A,1.814,27.2,518.6,11
417,1982,A,2.298,28.5,157.5,11
417,1982,A,2.079,27.5,0,11
417,1982,A,1.278,21.2,0,11
417,1983,A,1.865,21.3,1.1,11
417,1983,A,1.643,28,53.4,11
439,1982,Df,1.225,9.9,98.6,10
439,1982,Df,1.28,13,80.2,10
439,1982,Df,1.809,10.6,130,10
439,1982,Df,1.432,5.8,95.4,10
439,1982,Df,0.4,-1.1,44.3,10
439,1983,Df,0.427,1.6,24.8,10
439,1983,Df,0.877,10.9,83.8,10
439,1983,Df,0.72,11.7,125.5,10
439,1983,Df,0.952,10.6,88.3,10
439,1983,Df,0.801,7.4,124.4,10
447,1979,Cw,1.67,28.1,18.3,18
447,1979,Cw,1.551,30.5,28,18
447,1979,Cw,2.21,33.9,23.1,18
447,1979,Cw,4.021,31,120.2,18
447,1979,Cw,4.078,30.6,112.1,18
447,1979,Cw,1.917,28.2,51,18
447,1979,Cw,1.273,25.8,0,18
447,1979,Cw,0.929,20.7,2.8,18
447,1979,Cw,1.009,15.7,1.2,18
447,1980,Cw,1.218,13.6,9.2,18
447,1980,Cw,1.326,17.3,0,18
447,1980,Cw,1.616,20.4,17.9,18
447,1980,Cw,2.055,29.4,0,18
447,1980,Cw,1.817,34.2,1.7,18
447,1980,Cw,3.789,33.6,47.1,18
447,1980,Cw,6.19,30.1,244.1,18
447,1980,Cw,6.538,30.2,16.9,18
447,1980,Cw,6.323,29.2,70,18
461,1985,Cf,0.365,-6.3,38.7,12
461,1985,Cf,0.156,-2.3,149.1,12
461,1985,Cf,0.628,9,85.1,12
461,1985,Cf,1.143,15.2,66.4,12
461,1985,Cf,1.578,18.3,137.4,12
461,1985,Cf,2.137,20.8,280.6,12
461,1985,Cf,2.998,25.1,41.1,12
461,1985,Cf,2.882,22.6,153,12
461,1985,Cf,2.27,20,52.1,12
461,1985,Cf,1.44,14.7,64,12
461,1985,Cf,0.98,5.7,257.2,12
461,1985,Cf,0.562,-4,104.2,12
467,1983,Cf,1.305,10,81.6,32
467,1983,Cf,2.056,11.8,145.9,32
467,1983,Cf,1.972,18.4,28.3,32
467,1983,Cf,1.452,22.7,19.4,32
467,1983,Cf,1.131,20.2,19.2,32
467,1983,Cf,1.674,15.4,42.7,32
467,1983,Cf,1.766,9.9,28,32
467,1983,Cf,1.3,3.8,26.4,32
467,1983,Cf,0.902,1.3,36.2,32
467,1984,Cf,0.516,2,80.7,32
467,1984,Cf,0.148,1.4,59.2,32
467,1984,Cf,0.622,3.6,16.2,32
467,1984,Cf,0.966,8.7,29.6,32
467,1984,Cf,1.173,11.3,130.6,32
467,1984,Cf,1.792,15.5,47.1,32
467,1984,Cf,2.136,18,36.5,32
467,1984,Cf,2.067,18.4,36.4,32
467,1984,Cf,1.523,13.4,87.2,32
467,1984,Cf,2.097,11,31.3,32
467,1984,Cf,0.704,5.8,35.9,32
467,1984,Cf,0.604,2,23.9,32
467,1985,Cf,0.616,-4,42.5,32
467,1985,Cf,0.488,-0.8,32.1,32
467,1985,Cf,0.808,4.3,35.9,32
467,1985,Cf,1.435,9.5,27.7,32
467,1985,Cf,2.003,14.4,60.9,32
467,1985,Cf,2.72,15.1,66.2,32
467,1985,Cf,2.726,19.3,41.6,32
467,1985,Cf,1.646,17.5,41.5,32
467,1985,Cf,1.076,16,16.8,32
467,1985,Cf,0.932,9.9,11.9,32
467,1985,Cf,0.653,1.5,51.1,32
469,1983,Cf,1.97,23.3,59.8,13
469,1983,Cf,1.919,25.1,126.6,13
469,1983,Cf,2.273,27,99,13
469,1983,Cf,2.248,27.1,151.8,13
469,1983,Cf,1.714,24,117,13
469,1983,Cf,2.187,21.9,74.6,13
469,1983,Cf,1.9,16,97.4,13
469,1983,Cf,1.42,12.5,112.4,13
469,1984,Cf,1.138,11.7,31.8,13
469,1984,Cf,1.337,14.2,123.8,13
469,1984,Cf,1.318,16.4,82,13
469,1984,Cf,1.574,19.5,69.2,13
469,1984,Cf,2.35,23.4,121.9,13
487,1977,Cs,2.525,14.8,122.4,12
487,1977,Cs,2.529,17.5,17.8,12
487,1977,Cs,2.511,22.3,5.5,12
487,1978,Cs,2.438,23.5,5.1,12
487,1978,Cs,2.45,23,16.3,12
487,1978,Cs,2.529,22.6,6.4,12
487,1978,Cs,2.604,18.7,13.9,12
487,1978,Cs,2.512,14.3,190,12
